"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461102506202521707_id.ret"
""
"Cadastrado título novo: 9000008643 3646 - MAGAZINE LUIZA S.A. 31/07/2025 RG 1180,93 0"
"Pago título: 2500004953 254 - SOCIEDADE HIPICA DE C 30/06/2025 LQ 756,56 756,56"
"Pago título: 2500005079 3662 - ASSOCIACAO RESIDENCI 30/06/2025 LQ 704,74 704,74"
"Pago título: 2500005240 3383 - CENTRO EMPRESARIAL E 30/06/2025 LQ 635,1 635,1"
"Pago título: 2500005310 5404 - ASSOC DE CONGRESSOS 30/06/2025 LQ 616,54 616,54"
"Pago título: 2500005311 5404 - ASSOC DE CONGRESSOS 31/07/2025 LQ 616,54 616,54"
"Pago título: 2500005312 5404 - ASSOC DE CONGRESSOS 29/08/2025 LQ 616,54 616,54"
"Pago título: 2500005313 5404 - ASSOC DE CONGRESSOS 30/09/2025 LQ 616,54 616,54"
"Pago título: 2500005314 5404 - ASSOC DE CONGRESSOS 31/10/2025 LQ 616,54 616,54"
"Pago título: 2500005315 5404 - ASSOC DE CONGRESSOS 28/11/2025 LQ 616,54 616,54"
"Pago título: 2500005316 5404 - ASSOC DE CONGRESSOS 19/12/2025 LQ 616,54 616,54"
"Pago título: 2500005842 2478 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 453,08 453,08"
"Pago título: 2500005947 4556 - ASSOCIACAO DE MELHOR 30/06/2025 LQ 425,12 425,12"
"Pago título: 2500006080 241 - RIO CONSTRUTORA E AGR 30/06/2025 LQ 414,75 414,75"
"Pago título: 2500006081 241 - RIO CONSTRUTORA E AGR 31/07/2025 LQ 414,76 414,76"
"Pago título: 2500006082 241 - RIO CONSTRUTORA E AGR 29/08/2025 LQ 414,76 414,76"
"Pago título: 2500006083 241 - RIO CONSTRUTORA E AGR 30/09/2025 LQ 414,76 414,76"
"Pago título: 2500006084 241 - RIO CONSTRUTORA E AGR 31/10/2025 LQ 414,76 414,76"
"Pago título: 2500006085 241 - RIO CONSTRUTORA E AGR 28/11/2025 LQ 414,76 414,76"
"Pago título: 2500006086 241 - RIO CONSTRUTORA E AGR 19/12/2025 LQ 414,76 414,76"
"Pago título: 2500006171 3660 - SO AGUA COMERCIAL E 30/06/2025 LQ 401,5 401,5"
"Pago título: 2500006696 3382 - CENTRO EMPRESARIAL E 30/06/2025 LQ 328,9 328,9"
"Pago título: 2500006941 2559 - CONDOMINIO RESIDENCI 30/06/2025 LQ 303,24 303,24"
"Pago título: 2500006955 3779 - SOCIEDADE JARDIM VIL 30/06/2025 LQ 301,95 301,95"
"Pago título: 2500007214 3053 - JR GOMES IMOBILIARIA 30/06/2025 LQ 271,83 271,83"
"Cancelado título: 2500000128 3646 - MAGAZINE LUIZA SA 30/06/2025 BX 1146,18 0"
"ERRO! Operação desconhecida: 2500000173 2277 - MYRALIS INDUSTRIA FA 11/07/2025 VC 784,11 0"
"ERRO! Operação desconhecida: 2500001528 3642 - CONDOMINIO RESIDENCI 15/07/2025 VC 265 0"
