"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461163006202522259_id.ret"
""
"Cadastrado título novo: 9000008655 3072 - BAKELS BRASIL INGRED 31/07/2025 RG 307,02 0"
"Pago título: 2500000326 5162 - MOACIR ANTONIO DIDON 30/06/2025 LQ 367,39 367,39"
"Pago título: 2500000328 541 - LIMERCART INDUSTRIA E 30/06/2025 LQ 365,96 365,96"
"Pago título: 2500000340 263 - CLUBE SEMANAL DA CULT 30/06/2025 LQ 365,47 365,47"
"Pago título: 2500000341 7737 - HIPERMIX BRASIL SP S 30/06/2025 LQ 364,54 364,54"
"Pago título: 2500000343 984 - DOM PEDRO EMPREENDIME 30/06/2025 LQ 363,03 363,03"
"Pago título: 2500000345 78 - RESTAURANTE IRMAOS MAR 30/06/2025 LQ 360,95 360,95"
"Pago título: 2500000348 2623 - ROBERTO TOSHIAKI KAW 30/06/2025 LQ 360,46 360,46"
"Pago título: 2500000356 1916 - HOTEL NOVO LIMEIRA L 30/06/2025 LQ 357,06 357,06"
"Pago título: 2500000358 5395 - MINERADORA SANTA MAR 30/06/2025 LQ 356,44 356,44"
"Pago título: 2500000359 3539 - A R SACARIAS EIRELI 30/06/2025 LQ 356,21 356,21"
"Pago título: 2500000364 1369 - MARIA CHRISTINA CLEM 30/06/2025 LQ 351,32 351,32"
"Pago título: 2500000367 958 - MEFSA  MECANICA E FUN 30/06/2025 LQ 351,32 351,32"
"Pago título: 2500000371 249 - CLUBE CAMPINEIRO DE R 30/06/2025 LQ 351,32 351,32"
"Pago título: 2500000372 1201 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 351,32 351,32"
"Pago título: 2500000378 995 - CADSERVICE PRODUTOS E 30/06/2025 LQ 348,09 348,09"
"Pago título: 2500000384 4571 - SMARTECH EMPREENDIME 30/06/2025 LQ 345,7 345,7"
"Pago título: 2500000388 2411 - ASSOC DOS PROP DO RE 30/06/2025 LQ 344,77 344,77"
"Pago título: 2500000392 372 - ASSOCIACAO MORAD PROP 30/06/2025 LQ 339,61 339,61"
"Pago título: 2500000397 4212 - LUBRIZOL DO BRASIL A 30/06/2025 LQ 337,26 337,26"
"Pago título: 2500000398 2513 - LAVAPANO TEXTIL LTDA 30/06/2025 LQ 337,16 337,16"
"Pago título: 2500000406 4468 - FARO SAO THOME HOTEL 30/06/2025 LQ 332,63 332,63"
"Pago título: 2500000413 5423 - SOCIEDADE ESPORTIVA 30/06/2025 LQ 325,4 325,4"
"Pago título: 2500000415 5538 - SOCIEDADE RECREATIVA 30/06/2025 LQ 324,58 324,58"
"Pago título: 2500000422 2628 - LINK STEL EQUIPAMENT 30/06/2025 LQ 322,05 322,05"
"Pago título: 2500000424 2685 - INDUSTRIA MECANICA S 30/06/2025 LQ 321,63 321,63"
"Pago título: 2500000428 2303 - MAUSA SA EQUIPAMENTO 30/06/2025 LQ 320,65 320,65"
"Pago título: 2500000430 5555 - ASSUNCAO EMPREENDIME 30/06/2025 LQ 319,85 319,85"
"Pago título: 2500000432 1614 - CONDOMINIO RESIDENCI 30/06/2025 LQ 318,82 318,82"
"Pago título: 2500000433 3573 - ESCOLA ASSOCIATIVA W 30/06/2025 LQ 318,26 318,26"
"Pago título: 2500000436 922 - ASSOC DE FUNCIONARIOS 30/06/2025 LQ 316,72 316,72"
"Pago título: 2500000440 1468 - VINHEDO HOTELARIA ME 30/06/2025 LQ 313,81 313,81"
"Pago título: 2500000441 4443 - CONDOMINIO CENTRO LO 30/06/2025 LQ 313,8 313,8"
"Pago título: 2500000442 353 - CONJUNTO RESIDENCIAL 30/06/2025 LQ 313,08 313,08"
"Pago título: 2500000443 6947 - CASTELLA INDUSTRIA D 30/06/2025 LQ 312,82 312,82"
"Pago título: 2500000445 4474 - JOSE RICARDO PENTEAD 30/06/2025 LQ 311,37 311,37"
"Pago título: 2500000448 4464 - ASSOCIACAO PARA A GE 30/06/2025 LQ 309,64 309,64"
"Pago título: 2500000450 1170 - ASSOCIACAO BENEDITIN 30/06/2025 LQ 309,21 309,21"
"Pago título: 2500000456 2968 - TCMEP3 EMPREENDIMENT 30/06/2025 LQ 307,41 307,41"
"Pago título: 2500000457 1620 - FAM CONSTRUCOES META 30/06/2025 LQ 307,41 307,41"
"Pago título: 2500000459 1578 - FW DISTRIBUIDORA LTD 30/06/2025 LQ 306,46 306,46"
"Pago título: 2500000462 1783 - CESAR RODRIGO ZUMSTE 30/06/2025 LQ 304,92 304,92"
"Pago título: 2500000463 4500 - ALSCO TOALHEIRO BRAS 30/06/2025 LQ 304,92 304,92"
"Pago título: 2500000464 2830 - FRANCISCO CORNELIUS 30/06/2025 LQ 304,77 304,77"
"Pago título: 2500000468 3655 - ALPHAFER CONSTRUCOES 30/06/2025 LQ 303,19 303,19"
"Pago título: 2500000473 1166 - SIND TRAB IND METALU 30/06/2025 LQ 300,34 300,34"
"Pago título: 2500000474 3021 - GODOY  BAPTISTELLA I 30/06/2025 LQ 300,3 300,3"
"Pago título: 2500000475 2147 - EDIFICIO VILLA D  AC 30/06/2025 LQ 299,42 299,42"
"Pago título: 2500000477 388 - FLORENCA PALACE HOTEL 30/06/2025 LQ 297,68 297,68"
"Pago título: 2500000479 2885 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 296,76 296,76"
"Pago título: 2500000485 2803 - MARCELLO CARDOSO MEN 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000495 7886 - UTGR AMERICANA AMBIE 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000499 1385 - FENIX INDUSTRIA DE M 04/07/2025 LQ 292,77 292,77"
"Pago título: 2500000501 4915 - CLUBE FONTE SAO PAUL 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000504 3326 - KADANT SOUTH AMERICA 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000505 4382 - NACIONAL TUBOS INDUS 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000508 4853 - TRIPAMA COMERCIO DE 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000511 3007 - CURSO E COLEGIO AESC 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000517 5184 - AUTO POSTO PAVAO BON 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000521 311 - COMERCIO TERRAPLENAGE 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000524 2611 - MISSAO EMPREENDIMENT 30/06/2025 LQ 290,59 290,59"
"Pago título: 2500000526 1285 - TST ISOLANTES TERMIC 30/06/2025 LQ 289,84 289,84"
"Pago título: 2500000528 1765 - INDUSTRIA DE MAQUINA 30/06/2025 LQ 289,83 289,83"
"Pago título: 2500000533 140 - RODOPOSTO BANDEIRANTE 30/06/2025 LQ 288,4 288,4"
"Pago título: 2500000534 381 - INSTITUTO EDUCACIONAL 30/06/2025 LQ 287,86 287,86"
"Pago título: 2500000537 3486 - ASSOCIACAO DOS PROP 30/06/2025 LQ 286,62 286,62"
"Pago título: 2500000546 2052 - MACCAFERRI DO BRASIL 30/06/2025 LQ 281,71 281,71"
"Pago título: 2500000547 1127 - VALBORMIDA BRASIL ME 30/06/2025 LQ 281,7 281,7"
"Pago título: 2500000549 1121 - SATA BRASIL LTDA 30/06/2025 LQ 281,05 281,05"
"Pago título: 2500000550 2624 - PLIMAX INDUSTRIA DE 30/06/2025 LQ 281,05 281,05"
"Pago título: 2500000553 1933 - FLEXCOAT PRODUTOS AU 30/06/2025 LQ 280,58 280,58"
"Pago título: 2500000554 562 - M N TERUYA COMERCIAL 30/06/2025 LQ 279,4 279,4"
"Pago título: 2500000560 2966 - ASSOCIACAO ESPORTIVA 30/06/2025 LQ 277,09 277,09"
"Pago título: 2500000564 2487 - INDUSTRIA METALOQUIM 30/06/2025 LQ 275,28 275,28"
"Pago título: 2500000565 7852 - CAPITAL MIX CONCRETO 30/06/2025 LQ 275,28 275,28"
"Pago título: 2500000566 2799 - DUBAR INDUSTRIA E CO 30/06/2025 LQ 274,75 274,75"
"Pago título: 2500000567 181 - EMULZINT ADITIVOS ALI 30/06/2025 LQ 274,62 274,62"
"Pago título: 2500000571 3318 - CONCESSIONARIA DO SI 30/06/2025 LQ 273,74 273,74"
"Pago título: 2500000572 5333 - FIACAO FIDES LTDA 30/06/2025 LQ 273,74 273,74"
"Pago título: 2500000574 4054 - CONDOMINIO PALAZZO U 30/06/2025 LQ 271,57 271,57"
"Pago título: 2500000576 7303 - BCAG BRASIL CHINA AR 30/06/2025 LQ 271,05 271,05"
"Pago título: 2500000579 3497 - RUBENS CASCALDI FILH 30/06/2025 LQ 267,91 267,91"
"Pago título: 2500000580 5624 - CONDOMINIO EDIFICIO 30/06/2025 LQ 266,37 266,37"
"Pago título: 2500000582 3625 - ANODICAMP  INDUSTRIA 30/06/2025 LQ 265,22 265,22"
"Pago título: 2500000585 1847 - VICUNHA SERVICOS LTD 30/06/2025 LQ 263,88 263,88"
"Pago título: 2500000586 2161 - ANNA MARIA DE SOUZA 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000589 7734 - UNIVERSO DO GELO COM 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000590 2618 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000595 1949 - ASTEN  CIA LTDA 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000596 2238 - ASSOCIACAO DOS PROP 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000599 3595 - MOTEL ALPINO  ME 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000601 3979 - NASH  SERVICOS E COM 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500000603 5445 - AUTO POSTO SALESCO L 30/06/2025 LQ 263,48 263,48"
"Pago título: 2500000605 2033 - CENTRO HOSPITALAR VA 30/06/2025 LQ 262,78 262,78"
"Pago título: 2500000607 1770 - RIO DAS PEDRAS COM D 30/06/2025 LQ 262,6 262,6"
"Pago título: 2500000609 7769 - ASSUNCAO EMPREENDIME 30/06/2025 LQ 261,04 261,04"
"Pago título: 2500000614 3299 - RISCHIOTO INDUSTRIA 30/06/2025 LQ 258,73 258,73"
"Pago título: 2500000617 5459 - SANDRO CAMARGO 30/06/2025 LQ 257,63 257,63"
"Pago título: 2500000626 548 - ROSFRIOS ALIMENTOS LT 30/06/2025 LQ 254,11 254,11"
"Pago título: 2500000627 7201 - CONDOMINIO EDIFICIO 30/06/2025 LQ 254,03 254,03"
"Pago título: 2500000628 7364 - GOODBOM SUPERMERCADO 30/06/2025 LQ 254,03 254,03"
"Pago título: 2500000634 3435 - CONDOMINIO EDIFICIO 30/06/2025 LQ 251,58 251,58"
"Pago título: 2500000638 2636 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 250,26 250,26"
"Pago título: 2500000640 3004 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 250,26 250,26"
"Pago título: 2500000643 218 - HAVER  BOECKER LATINO 30/06/2025 LQ 249,36 249,36"
"Pago título: 2500000647 3648 - HOTEL ESTANCIA SANTA 30/06/2025 LQ 248,45 248,45"
"Pago título: 2500000648 3877 - VALINHOS HOTELARIA L 30/06/2025 LQ 248,11 248,11"
"Pago título: 2500000653 2394 - AMGARTEN COMERCIO DE 30/06/2025 LQ 245,93 245,93"
"Pago título: 2500000655 2690 - CONTEUDO COMERCIO E 30/06/2025 LQ 245,93 245,93"
"Pago título: 2500000657 3876 - WEIDMANN TECNOLOGIA 30/06/2025 LQ 245,32 245,32"
"Pago título: 2500000662 1773 - CONCREBASE  SERVICOS 30/06/2025 LQ 243,83 243,83"
"Pago título: 2500000666 2886 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 242,08 242,08"
"Pago título: 2500000673 4518 - SAO PAULO MINAS COME 30/06/2025 LQ 239,14 239,14"
"Pago título: 2500000677 5186 - SANTOS  SANTOS TRANS 30/06/2025 LQ 236,79 236,79"
"Pago título: 2500000678 3849 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 236,69 236,69"
"Pago título: 2500000679 5470 - MARTINS  PELOSO CHUR 30/06/2025 LQ 235,74 235,74"
"Pago título: 2500000684 764 - CARLOS ALBERTO LOUREN 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500000687 3741 - ARMANDO RAUCCI 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500000689 16 - INDAIA HOTELARIA LTDA 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500000693 2599 - GAPLAN CAMINHOES LTD 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500000697 5462 - SERVICO SOCIAL DA IN 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500000700 2765 - CONDOMINIO EDIFICIO 30/06/2025 LQ 233,88 233,88"
"Pago título: 2500000701 4524 - ASSOC DE PROP E MORA 30/06/2025 LQ 233,51 233,51"
"Pago título: 2500000708 2543 - OPETRA INDUSTRIA E C 30/06/2025 LQ 232,5 232,5"
"Pago título: 2500000711 2771 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 231,38 231,38"
"Pago título: 2500000712 2154 - PREFEITURA DO MUNICI 30/06/2025 LQ 231 231"
"Pago título: 2500000720 1606 - ANTONIO CELSO GRECCO 30/06/2025 LQ 225,72 225,72"
"Pago título: 2500000723 1021 - INDUSTRIA E COMERCIO 30/06/2025 LQ 225,35 225,35"
"Pago título: 2500000726 405 - PIRAENTUR PIRACICABA 30/06/2025 LQ 224,04 224,04"
"Pago título: 2500000732 6144 - ANDREA CURY SHARP DE 30/06/2025 LQ 223,23 223,23"
"Pago título: 2500000736 3084 - JESUS DE MARI ARTEFA 30/06/2025 LQ 222,34 222,34"
"Pago título: 2500000738 2755 - RANCHO MINEIRO RESTA 30/06/2025 LQ 222,21 222,21"
"Pago título: 2500000739 1007 - CONDOMINIO EDIFICIO 30/06/2025 LQ 222,15 222,15"
"Pago título: 2500000741 5565 - WHITE MARTINS GASES 30/06/2025 LQ 222,04 222,04"
"Pago título: 2500000745 7796 - IVO ZARZUR  CAMPINAS 30/06/2025 LQ 219,9 219,9"
"Pago título: 2500000748 5512 - JOAO ANTONIO MARONES 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500000762 731 - AUGUSTA MARTINS FIORI 30/06/2025 LQ 216,27 216,27"
"Pago título: 2500000763 3988 - COMOTEC INDUSTRIA E 30/06/2025 LQ 216,07 216,07"
"Pago título: 2500000765 3702 - LUIZZI INDUSTRIA E C 30/06/2025 LQ 215,92 215,92"
"Pago título: 2500000766 3913 - ENSINO INFANTIL E FU 30/06/2025 LQ 215,61 215,61"
"Pago título: 2500000768 979 - CRIVELLARO  FILHOS LT 30/06/2025 LQ 215,15 215,15"
"Pago título: 2500000772 1889 - IMBRAMIL INDUSTRIA E 30/06/2025 LQ 213,24 213,24"
"Pago título: 2500000776 3228 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 212,09 212,09"
"Pago título: 2500000779 7719 - GL FOODS WORLDWIDE L 30/06/2025 LQ 211,63 211,63"
"Pago título: 2500000780 4057 - TEXTIL JAVANEZA LTDA 30/06/2025 LQ 210,94 210,94"
"Pago título: 2500000784 1839 - TEXTIL PBS LTDA 30/06/2025 LQ 208,29 208,29"
"Pago título: 2500000785 4175 - INBRASC  INDUSTRIA B 30/06/2025 LQ 208,21 208,21"
"Pago título: 2500000791 5578 - INDUSTRIAS MACHINA Z 30/06/2025 LQ 206,41 206,41"
"Pago título: 2500000793 2788 - MARCOS GUILHERME ELT 30/06/2025 LQ 205,82 205,82"
"Pago título: 2500000795 1409 - ASTRA SA INDUSTRIA E 30/06/2025 LQ 204,18 204,18"
"Pago título: 2500000796 1028 - CONDOMINIO EDIFICIO 30/06/2025 LQ 202,6 202,6"
"Pago título: 2500000798 1037 - EXXONMOBIL QUIMICA L 30/06/2025 LQ 200,92 200,92"
"Pago título: 2500000799 395 - EDIFICIO RESIDENCIAL 30/06/2025 LQ 200,62 200,62"
"Pago título: 2500000816 6936 - ANHANGUERA COMERCIO 30/06/2025 LQ 193,4 193,4"
"Pago título: 2500000818 1851 - RIVIJUN HOTEIS E TUR 30/06/2025 LQ 193,03 193,03"
