"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462462909202522306_id.ret"
""
"Cadastrado título novo: 9000008948 4783 - CORREIAS MERCURIO S/ 31/10/2025 RG 767,46 0"
"Cadastrado título novo: 9000008949 7309 - PROJESAN SANEMENTO A 31/10/2025 RG 1207,75 0"
"Cadastrado título novo: 9000008950 3803 - ASSOCIACAO ALPHAVILL 31/10/2025 RG 741,57 0"
"Pago título: 2500004291 358 - ASSOCIACAO AMIGOS MAR 30/09/2025 LQ 1393,48 1393,48"
"Pago título: 2500004356 4330 - CPD LOCADORA DE VEIC 28/11/2025 LQ 1254,71 1254,71"
"Pago título: 2500004357 4330 - CPD LOCADORA DE VEIC 19/12/2025 LQ 1254,71 1254,71"
"Pago título: 2500004522 383 - EATON LTDA 30/09/2025 LQ 1082,97 1082,97"
"Pago título: 2500004571 1145 - JOBEMA DISTRIBUIDORA 30/09/2025 LQ 1044,68 1044,68"
"Pago título: 2500004823 5402 - SAO PAULO SECRETARIA 30/09/2025 LQ 844,71 844,71"
"Pago título: 2500005082 3662 - ASSOCIACAO RESIDENCI 30/09/2025 LQ 704,73 704,73"
"Pago título: 2500005110 1789 - CENTRAIS DE ABASTECI 30/09/2025 LQ 682,69 682,69"
"Pago título: 2500005194 52 - ASSOCIACAO DOS PROPRIE 30/09/2025 LQ 643,05 643,05"
"Pago título: 2500005264 1249 - ESTANCIA PARQUE ATIB 30/09/2025 LQ 631,77 631,77"
"Pago título: 2500005271 2410 - COND CENTRO DE LOGIS 30/09/2025 LQ 627,36 627,36"
"Pago título: 2500005299 7865 - ZANARDI EMPREENDIMEN 30/09/2025 LQ 622,34 622,34"
"Pago título: 2500005481 7807 - RESERVA SANTA ISABEL 30/09/2025 LQ 568,84 568,84"
"Pago título: 2500005719 4862 - PSS DE CAMARGO SERVI 30/09/2025 LQ 501,89 501,89"
"Pago título: 2500006069 6692 - CONDOMINIO EMPRESARI 30/09/2025 LQ 416,98 416,98"
"Pago título: 2500006097 2906 - TRANSPORTADORA H2O L 30/09/2025 LQ 414,04 414,04"
"Pago título: 2500006160 3926 - HWT PROMOCOES ESPORT 30/09/2025 LQ 405,69 405,69"
"Pago título: 2500006321 545 - SOCIEDADE DE PROPRIET 30/09/2025 LQ 376,36 376,36"
"Pago título: 2500006538 7797 - JD RES P DAS LARANJE 30/09/2025 LQ 338,9 338,9"
"Pago título: 2500006545 4869 - ASSOCIACAO DOS MORAD 30/09/2025 LQ 338,77 338,77"
"Pago título: 2500006643 5558 - PARKLOG ADMINISTRADO 30/09/2025 LQ 334,59 334,59"
"Pago título: 2500006664 1122 - PPC SANTANA EQUIPAME 30/09/2025 LQ 333,42 333,42"
"Pago título: 2500006678 1902 - KENJI EXTRACAO E COM 30/09/2025 LQ 331,5 331,5"
"Pago título: 2500006692 3336 - CONDOMINIO RESIDENCI 30/09/2025 LQ 329,82 329,82"
"Pago título: 2500006923 2375 - PRODUTOS ALIMENTICIO 30/09/2025 LQ 308,5 308,5"
"Pago título: 2500007000 1675 - ASSOCIACAO DOS MORAD 30/09/2025 LQ 298,62 298,62"
"Pago título: 2500007238 2962 - CONDOMINIO VITORIA D 30/09/2025 LQ 271,02 271,02"
"Pago título: 2500007259 304 - ASSOC DOS PROPRIETARI 30/09/2025 LQ 264,79 264,79"
"Pago título: 2500007308 149 - GREEN GOLF CLUB 30/09/2025 LQ 254,83 254,83"
"Pago título: 2500007644 1742 - CONDOMINIO SERANILA 30/09/2025 LQ 225,85 225,85"
"Pago título: 2500007721 7711 - PAULO SETUBAL NETO 30/09/2025 LQ 220,83 220,83"
"Pago título: 2500007749 7027 - ETIQUETTA BRANCA IND 30/09/2025 LQ 218,85 218,85"
"Pago título: 2500007882 6911 - MAURO DA SILVA ARTUR 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007952 5491 - BREW CENTER CERVEJAS 30/09/2025 LQ 206,52 206,52"
"Pago título: 2500008036 5449 - CONDOMINIO HOTEL INT 30/09/2025 LQ 200,75 200,75"
"Pago título: 9000008632 5608 - ASSOCIACAO DE MORADO 30/09/2025 LQ 271,76 271,76"
"Pago título: 9000008725 304 - ASSOC DOS PROPRIETARI 30/09/2025 LQ 351,51 351,51"
"Pago título: 9000008807 1742 - CONDOMINIO SERANILA 30/09/2025 LQ 472,32 472,32"
"Pago título: 9000008808 363 - H N HOTEIS E TURISMO 30/09/2025 LQ 409,77 409,77"
"Pago título: 9000008819 2850 - POLIMIX CONCRETO LTD 30/09/2025 LQ 692,26 692,26"
"Pago título: 9000008841 293 - OMAMORI INDUSTRIA DE 30/09/2025 LQ 3810,12 3810,12"
"Pago título: 9000008851 2868 - IGREJA EVANGELICA AS 30/09/2025 LQ 245,3 245,3"
"Pago título: 9000008885 3297 - ASSOC ADM DO LOTEAME 30/09/2025 LQ 309,21 309,21"
"Pago título: 9000008893 972 - OJI PAPEIS ESPECIAIS 30/09/2025 LQ 1591,02 1591,02"
"Pago título: 9000008918 3229 - PLASTCOR DO BRASIL L 30/09/2025 LQ 292,29 292,29"
"Pago título: 9000008938 3022 - BORGWARNER BRASIL LT 30/09/2025 LQ 624,94 624,94"
"Cancelado título: 9000008946 3803 - ASSOCIACAO ALPHAVILL 30/09/2025 BX 734,23 0"
"ERRO! Operação desconhecida: 9000008945 7758 - ASSOC DOS PROP DO LO 19/12/2025 VC 258,7 0"
