"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462022808202521440_id.ret"
""
"Cadastrado título novo: 9000008827 1133 - AIR LIQUIDE BRASIL L 30/09/2025 RG 405,24 0"
"Cadastrado título novo: 9000008828 954 - AB SISTEMA DE FREIOS 30/09/2025 RG 637,17 0"
"Cadastrado título novo: 9000008829 156 - EMBRASATEC INDUSTRIA 30/09/2025 RG 421,31 0"
"Cadastrado título novo: 9000008830 7859 - EMBRASA EMBALAGEM BR 30/09/2025 RG 229,52 0"
"Cadastrado título novo: 9000008831 4030 - EMBRASATEC INDUSTRIA 30/09/2025 RG 417,04 0"
"Cadastrado título novo: 9000008832 2841 - CERAMICA DA MATA LTD 30/09/2025 RG 369,2 0"
"Cadastrado título novo: 9000008833 2032 - SEW - EURODRIVE BRAS 30/09/2025 RG 777,21 0"
"Cadastrado título novo: 9000008834 2087 - VB TRANSPORTES E TUR 30/09/2025 RG 821,57 0"
"Cadastrado título novo: 9000008835 1200 - CLARO S.A. 30/09/2025 RG 525,98 0"
"Pago título: 2500002344 5633 - IBIS AGRARIA LTDA 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002685 4973 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002715 953 - MAHLE COMPRESSORES DO 29/08/2025 LQ 206,82 206,82"
"Pago título: 2500002925 4829 - CLUBE RECREATIVO SUM 29/08/2025 LQ 222,02 222,02"
"Pago título: 2500003057 1323 - TEXTIL SUCCI LTDAME 29/08/2025 LQ 214,33 214,33"
"Pago título: 2500003183 1437 - CONDOMINIO EDIFICIO 29/08/2025 LQ 203,86 203,86"
"Pago título: 2500003394 951 - SERVICO AUTONOMO DE A 29/08/2025 LQ 25193,62 25193,62"
"Pago título: 2500003555 417 - EMBRAMACO EMPRESA BRA 29/08/2025 LQ 8024,02 8024,02"
"Pago título: 2500003618 856 - PREFEITURA MUNICIPAL 29/08/2025 LQ 6243,9 6243,9"
"Pago título: 2500003723 878 - PREFEITURA MUNICIPAL 29/08/2025 LQ 3757,74 3757,74"
"Pago título: 2500003772 2289 - ADVANCE INDUSTRIA TE 29/08/2025 LQ 2952,21 2952,21"
"Pago título: 2500003807 1048 - AHLSTROMMUNKSJO BRAS 29/08/2025 LQ 2854,27 2854,27"
"Pago título: 2500003835 2385 - SOLENIS ESPECIALIDAD 29/08/2025 LQ 2761,51 2761,51"
"Pago título: 2500004290 358 - ASSOCIACAO AMIGOS MAR 29/08/2025 LQ 1393,48 1393,48"
"Pago título: 2500004297 5553 - ASSOCIACAO MASTER DA 29/08/2025 LQ 1385,46 1385,46"
"Pago título: 2500004325 371 - CONDOMINIO ITAEMBU 29/08/2025 LQ 1340,24 1340,24"
"Pago título: 2500004430 2019 - BAERLOCHER DO BRASIL 29/08/2025 LQ 1176,28 1176,28"
"Pago título: 2500004521 383 - EATON LTDA 29/08/2025 LQ 1082,97 1082,97"
"Pago título: 2500004619 421 - MARTINREA HONSEL BRAS 29/08/2025 LQ 991,24 991,24"
"Pago título: 2500004661 2965 - JAGUARI COMERCIAL E 29/08/2025 LQ 953,99 953,99"
"Pago título: 2500004829 3622 - CONDOMINIO CAPELA DO 29/08/2025 LQ 838,11 838,11"
"Pago título: 2500004885 2752 - PREFEITURA DO MUNICI 29/08/2025 LQ 815,02 815,02"
"Pago título: 2500005109 1789 - CENTRAIS DE ABASTECI 29/08/2025 LQ 682,69 682,69"
"Pago título: 2500005144 7821 - CLUBE PRAIA DA GRAMA 29/08/2025 LQ 669,18 669,18"
"Pago título: 2500005200 3262 - ASSOCIACAO DE AMIGOS 29/08/2025 LQ 642,94 642,94"
"Pago título: 2500005263 1249 - ESTANCIA PARQUE ATIB 29/08/2025 LQ 631,77 631,77"
"Pago título: 2500005270 2410 - COND CENTRO DE LOGIS 29/08/2025 LQ 627,36 627,36"
"Pago título: 2500005536 2748 - QUALITY BENEFICIADOR 29/08/2025 LQ 545,37 545,37"
"Pago título: 2500005767 7887 - ASS MOR E PROP LOTES 29/08/2025 LQ 480,97 480,97"
"Pago título: 2500005991 3954 - MARCO ANTONIO TONOLI 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006047 4197 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006159 3926 - HWT PROMOCOES ESPORT 29/08/2025 LQ 405,69 405,69"
"Pago título: 2500006348 335 - ANTONIO BORIN SA IND 29/08/2025 LQ 367,15 367,15"
"Pago título: 2500006761 1749 - USINA PAULISTA DE BR 29/08/2025 LQ 322,99 322,99"
"Pago título: 2500006929 2165 - CONDOMINIO RESIDENCI 29/08/2025 LQ 305,94 305,94"
"Pago título: 2500007475 5643 - MARCELO ALVES PEREIR 29/08/2025 LQ 244,67 244,67"
"Pago título: 2500007629 3994 - ASSOCIACAO RESERVA D 29/08/2025 LQ 225,85 225,85"
"Pago título: 2500007804 3606 - ANTONIO CHAVES DOS S 29/08/2025 LQ 210,58 210,58"
"Pago título: 2500007895 5492 - BUONO GEL INDUSTRIA 29/08/2025 LQ 209,12 209,12"
"Pago título: 9000008608 951 - SERVICO AUTONOMO DE A 29/08/2025 LQ 19704,64 19704,64"
"Pago título: 9000008746 335 - ANTONIO BORIN IND E C 29/08/2025 LQ 1226,03 1226,03"
"Pago título: 9000008756 5643 - MARCELO ALVES PEREIR 29/08/2025 LQ 506,64 506,64"
"Pago título: 9000008767 926 - FERTILIZANTES HERINGE 29/08/2025 LQ 425,74 425,74"
"Pago título: 9000008768 2780 - FERTILIZANTES HERING 29/08/2025 LQ 301,58 301,58"
"Pago título: 9000008769 5456 - EMPREENDIMENTO HOTEL 29/08/2025 LQ 454,67 454,67"
"Pago título: 9000008774 3298 - ASSOC DO CONJUNTO RE 29/08/2025 LQ 454,67 454,67"
"Pago título: 9000008777 4242 - NEW COLOR PLASTIC IN 29/08/2025 LQ 80,23 80,23"
"Pago título: 9000008803 4499 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 1076,85 1076,85"
"Pago título: 9000008813 2756 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 507,66 507,66"
"Pago título: 9000008814 3373 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 738,41 738,41"
"Pago título: 9000008815 2746 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 393,81 393,81"
"Pago título: 9000008816 1679 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 803,36 803,36"
"Pago título: 9000008817 4270 - PIMENTA VERDE ALIMEN 30/09/2025 LQ 492,27 492,27"
"Cancelado título: 9000008763 1200 - CLARO S.A. 29/08/2025 BX 520,8 0"
"ERRO! Operação desconhecida: 2500006257 265 - ADERE PRODUTOS AUTOAD 05/09/2025 VC 377,57 0"
