"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461603007202521158_id.ret"
""
"Cadastrado título novo: 9000008730 1660 - CCL INDUSTRIES DO BR 29/08/2025 RG 431,25 0"
"Pago título: 2500002554 2719 - ETECNO EMPREENDIMENT 31/07/2025 LQ 227,17 227,17"
"Pago título: 2500002779 2367 - INDUSTRIA DE FRIOS X 31/07/2025 LQ 202,64 202,64"
"Pago título: 2500002918 1113 - PPC SANTANA EQUIPAME 31/07/2025 LQ 223,29 223,29"
"Pago título: 2500002924 4829 - CLUBE RECREATIVO SUM 31/07/2025 LQ 222,02 222,02"
"Pago título: 2500003212 3929 - MINERACAO SAMAMBAIA 31/07/2025 LQ 202,19 202,19"
"Pago título: 2500003309 1046 - BRK AMBIENTAL  LIMEI 31/07/2025 LQ 77590,13 77590,13"
"Pago título: 2500003372 986 - PREFEITURA MUNICIPAL 31/07/2025 LQ 30494,83 30494,83"
"Pago título: 2500003463 1695 - GOODYEAR DO BRASIL P 31/07/2025 LQ 14585,72 14585,72"
"Pago título: 2500003498 920 - ELEKEIROZ SA 31/07/2025 LQ 10194,03 10194,03"
"Pago título: 2500003554 417 - EMBRAMACO EMPRESA BRA 31/07/2025 LQ 8024,02 8024,02"
"Pago título: 2500003645 857 - CPIC BRASIL FIBRAS DE 31/07/2025 LQ 5681,47 5681,47"
"Pago título: 2500003701 1405 - ASSOCIACAO LOTEAMENT 31/07/2025 LQ 4031,76 4031,76"
"Pago título: 2500003743 948 - QUINTA DA BARONEZA GO 31/07/2025 LQ 3678,73 3678,73"
"Pago título: 2500003771 2289 - ADVANCE INDUSTRIA TE 31/07/2025 LQ 2952,21 2952,21"
"Pago título: 2500003806 1048 - AHLSTROMMUNKSJO BRAS 31/07/2025 LQ 2854,27 2854,27"
"Pago título: 2500003883 98 - SOCIEDADE RESIDENCIAL 31/07/2025 LQ 2507,75 2507,75"
"Pago título: 2500004079 5076 - CLUBE DE CAMPO FAZEN 31/07/2025 LQ 1848,61 1848,61"
"Pago título: 2500004128 559 - BENEFICIADORA DE TECI 31/07/2025 LQ 1773,4 1773,4"
"Pago título: 2500004142 907 - SERRA AZUL WATER PARK 31/07/2025 LQ 1766,51 1766,51"
"Pago título: 2500004296 5553 - ASSOCIACAO MASTER DA 31/07/2025 LQ 1385,46 1385,46"
"Pago título: 2500004394 3462 - CONDOMINIO EMPRESARI 31/07/2025 LQ 1236,2 1236,2"
"Pago título: 2500004520 383 - EATON LTDA 31/07/2025 LQ 1082,97 1082,97"
"Pago título: 2500004597 892 - A AZEVEDO INDUSTRIA E 31/07/2025 LQ 1024,01 1024,01"
"Pago título: 2500004737 558 - CONDOMINIO CENTRO EMP 31/07/2025 LQ 886,37 886,37"
"Pago título: 2500004940 7785 - VISTA VERDE CAPIVARI 31/07/2025 LQ 774,71 774,71"
"Pago título: 2500005073 900 - DANA INDUSTRIAS LTDA 31/07/2025 LQ 717,38 717,38"
"Pago título: 2500005080 3662 - ASSOCIACAO RESIDENCI 31/07/2025 LQ 704,73 704,73"
"Pago título: 2500005192 52 - ASSOCIACAO DOS PROPRIE 31/07/2025 LQ 643,05 643,05"
"Pago título: 2500005199 3262 - ASSOCIACAO DE AMIGOS 31/07/2025 LQ 642,94 642,94"
"Pago título: 2500005241 3383 - CENTRO EMPRESARIAL E 31/07/2025 LQ 635,11 635,11"
"Pago título: 2500005255 25 - EXTRACAO E COMERCIO DE 31/07/2025 LQ 632,29 632,29"
"Pago título: 2500005262 1249 - ESTANCIA PARQUE ATIB 31/07/2025 LQ 631,77 631,77"
"Pago título: 2500005367 477 - TERRA DO PARAISO LTDA 31/07/2025 LQ 602,26 602,26"
"Pago título: 2500005402 2655 - JOAO CARLOS LEME RIB 31/07/2025 LQ 588,98 588,98"
"Pago título: 2500005584 2889 - I  M PAPEIS E EMBALA 31/07/2025 LQ 529,65 529,65"
"Pago título: 2500005766 7887 - ASS MOR E PROP LOTES 31/07/2025 LQ 480,97 480,97"
"Pago título: 2500005829 3453 - CERAMICA SAVANE LTDA 31/07/2025 LQ 457,72 457,72"
"Pago título: 2500006059 2310 - AQUACHER COMERCIAL L 30/07/2025 LQ 417,19 417,19"
"Pago título: 2500006060 2310 - AQUACHER COMERCIAL L 31/07/2025 LQ 417,19 417,19"
"Pago título: 2500006067 6692 - CONDOMINIO EMPRESARI 31/07/2025 LQ 416,98 416,98"
"Pago título: 2500006088 4306 - CONSTANTE DE OLIVEIR 31/07/2025 LQ 414,06 414,06"
"Pago título: 2500006179 7324 - THEIA EMPREENDIMENTO 31/07/2025 LQ 398,01 398,01"
"Pago título: 2500006277 5487 - ASSOC DOS PROPR DE L 31/07/2025 LQ 376,41 376,41"
"Pago título: 2500006312 5035 - CLOSURE SYSTEMS INTE 31/07/2025 LQ 376,41 376,41"
"Pago título: 2500006319 545 - SOCIEDADE DE PROPRIET 31/07/2025 LQ 376,36 376,36"
"Pago título: 2500006361 5545 - COOPERATIVA VEILING 31/07/2025 LQ 365,12 365,12"
"Pago título: 2500006452 46 - ASSOCIACAO DE MORADORE 31/07/2025 LQ 355,5 355,5"
"Pago título: 2500006536 7797 - JD RES P DAS LARANJE 31/07/2025 LQ 338,9 338,9"
"Pago título: 2500006634 7322 - CAMARGO COMPANHIA DE 31/07/2025 LQ 334,59 334,59"
"Pago título: 2500006662 1122 - PPC SANTANA EQUIPAME 31/07/2025 LQ 333,42 333,42"
"Pago título: 2500006676 1902 - KENJI EXTRACAO E COM 31/07/2025 LQ 331,5 331,5"
"Pago título: 2500006683 3366 - TECHIMPORT TECNOLOGI 31/07/2025 LQ 331,37 331,37"
"Pago título: 2500006697 3382 - CENTRO EMPRESARIAL E 31/07/2025 LQ 328,89 328,89"
"Pago título: 2500006851 5803 - ASSOCIACAO DOS AMIGO 31/07/2025 LQ 313,68 313,68"
"Pago título: 2500007222 7877 - ASSOCIACAO PARQUE RE 31/07/2025 LQ 271,86 271,86"
"Pago título: 2500007803 3606 - ANTONIO CHAVES DOS S 31/07/2025 LQ 210,58 210,58"
"Pago título: 2500007894 5492 - BUONO GEL INDUSTRIA 31/07/2025 LQ 209,12 209,12"
"Pago título: 2500008034 5449 - CONDOMINIO HOTEL INT 31/07/2025 LQ 200,75 200,75"
"Pago título: 2500008041 4674 - L OCCITANE OPERA IND 31/07/2025 LQ 200,75 200,75"
"Pago título: 2500008055 3271 - ASSOCIACAO DOS PROPR 31/07/2025 LQ 200,75 200,75"
"Pago título: 9000008622 7746 - SAO PAULO SECRETARIA 31/07/2025 LQ 4479,22 4479,22"
"Pago título: 9000008626 1940 - BR RESINAS E INDUSTR 31/07/2025 LQ 173,25 173,25"
"Pago título: 9000008652 7819 - SAO PAULO SECRETARIA 31/07/2025 LQ 2373,97 2373,97"
"Pago título: 9000008668 3262 - ASSOCIACAO DE AMIGOS 31/07/2025 LQ 2522,86 2522,86"
"Pago título: 9000008695 3437 - ASSOCIACAO DOS MORAD 31/07/2025 LQ 673,57 673,57"
"ERRO! Operação desconhecida: 2500000702 2868 - IGREJA EVANGELICA AS 08/08/2025 VC 233,42 0"
"ERRO! Operação desconhecida: 2500000854 1660 - CCL INDUSTRIES DO BR 06/08/2025 VC 176,3 0"
