"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462042908202522354_id.ret"
""
"Cadastrado título novo: 9000008836 293 - OMAMORI INDUSTRIA DE 30/09/2025 RG 3454,85 0"
"Cadastrado título novo: 9000008837 932 - GREMIO RECR EMPREGADO 30/09/2025 RG 209,98 0"
"Cadastrado título novo: 9000008838 932 - GREMIO RECR EMPREGADO 31/10/2025 RG 209,98 0"
"Cadastrado título novo: 9000008839 932 - GREMIO RECR EMPREGADO 28/11/2025 RG 209,98 0"
"Cadastrado título novo: 9000008840 932 - GREMIO RECR EMPREGADO 31/12/2025 RG 209,98 0"
"Pago título: 2500002660 4396 - VIVENDA ASSOCIACAO L 29/08/2025 LQ 213,72 213,72"
"Pago título: 2500002670 4910 - CARMEL PART E COMERC 29/08/2025 LQ 212,21 212,21"
"Pago título: 2500002690 7330 - LA VITA ALIMENTOS AG 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002695 4136 - STORAGE ADMINISTRACA 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002700 3729 - NP EMPREENDIMENTOS L 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002720 3945 - BRASA BURGER IND E C 29/08/2025 LQ 206,27 206,27"
"Pago título: 2500002725 617 - JOAO BOZZA JUNIOR 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002750 3656 - FAZENDA TOZAN DO BRA 29/08/2025 LQ 204,93 204,93"
"Pago título: 2500002785 3259 - BAG CLEANER COMERCIO 29/08/2025 LQ 202,32 202,32"
"Pago título: 2500002790 153 - CONDOMINIO BOSQUE DOS 29/08/2025 LQ 201,07 201,07"
"Pago título: 2500002795 2280 - TINTURARIA SANTA ADE 29/08/2025 LQ 200,37 200,37"
"Pago título: 2500002800 7749 - CONCREPAV PARTICIPAC 29/08/2025 LQ 200,2 200,2"
"Pago título: 2500002805 4135 - ALCEBIADES FERREIRA 29/08/2025 LQ 232,66 232,66"
"Pago título: 2500002811 391 - CONDOMINIO EDIFICIO E 29/08/2025 LQ 232,33 232,33"
"Pago título: 2500002823 997 - CEDASA INDUSTRIA E CO 29/08/2025 LQ 230,55 230,55"
"Pago título: 2500002835 1097 - TERRAR INDUSTRIA E C 29/08/2025 LQ 229,5 229,5"
"Pago título: 2500002847 5870 - VILA HIPICA EMPREEND 29/08/2025 LQ 228,36 228,36"
"Pago título: 2500002853 521 - SPG PRINTS BRASIL LTD 29/08/2025 LQ 228,11 228,11"
"Pago título: 2500002865 2686 - BOM PEIXE INDUSTRIA 29/08/2025 LQ 226,77 226,77"
"Pago título: 2500002877 495 - NEUMAYER TEKFOR AUTOM 29/08/2025 LQ 226,22 226,22"
"Pago título: 2500002883 959 - ASK PRODUTOS QUIMICOS 29/08/2025 LQ 226,08 226,08"
"Pago título: 2500002895 7881 - MAG SAC EMBALAGENS L 29/08/2025 LQ 225,89 225,89"
"Pago título: 2500002931 3853 - MONTE COR PROTECAO D 29/08/2025 LQ 221,25 221,25"
"Pago título: 2500002937 4584 - CONJUNTO RESIDENCIAL 29/08/2025 LQ 220,55 220,55"
"Pago título: 2500002943 2304 - LAZARO MELLO BRANDAO 29/08/2025 LQ 219,82 219,82"
"Pago título: 2500002949 2935 - CERAMICA ALMEIDA LTD 29/08/2025 LQ 219,75 219,75"
"Pago título: 2500002961 2528 - MULTILOG BRASIL SA 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002973 4840 - CIALENE INDUSTRIA E 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002979 3124 - BARREIRENSE PRODUTOS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002997 2452 - RUI GONCALVES TEIXEI 29/08/2025 LQ 219,43 219,43"
"Pago título: 2500003003 2653 - TANQUE MATERIAS PARA 29/08/2025 LQ 219,24 219,24"
"Pago título: 2500003009 3529 - TECELAGEM JOLITEX LT 29/08/2025 LQ 218,92 218,92"
"Pago título: 2500003015 1415 - DPV PRODUTOS QUIMICO 29/08/2025 LQ 218,63 218,63"
"Pago título: 2500003027 760 - LETICIA APARECIDA MAR 29/08/2025 LQ 217,47 217,47"
"Pago título: 2500003069 2227 - COMSAPE EXTRACAO E C 29/08/2025 LQ 214,03 214,03"
"Pago título: 2500003075 1276 - INDUSTRIA E COMERCIO 29/08/2025 LQ 213,45 213,45"
"Pago título: 2500003093 2301 - DRYLLER INDUSTRIA E 29/08/2025 LQ 211,76 211,76"
"Pago título: 2500003099 2469 - RICLAN SA 29/08/2025 LQ 211,5 211,5"
"Pago título: 2500003111 377 - ANDRITZ FABRICS AND R 29/08/2025 LQ 210,35 210,35"
"Pago título: 2500003117 1414 - CERVEJARIA ASHBY LTD 29/08/2025 LQ 210,03 210,03"
"Pago título: 2500003129 1558 - CONDOMINIO CHACARAS 29/08/2025 LQ 209,82 209,82"
"Pago título: 2500003135 135 - CONDOMINIO RESIDENCIA 29/08/2025 LQ 209,32 209,32"
"Pago título: 2500003177 1129 - CIA SANEAMENTO BASIC 29/08/2025 LQ 204,04 204,04"
"Pago título: 2500003189 2687 - ROTOCROM INDUSTRIA E 29/08/2025 LQ 203,76 203,76"
"Pago título: 2500003195 975 - BANN QUIMICA LTDA 29/08/2025 LQ 203,11 203,11"
"Pago título: 2500003201 2943 - VTR VETOR EQUIPAMENT 29/08/2025 LQ 202,93 202,93"
"Pago título: 2500003219 5608 - ASSOCIACAO DE MORADO 29/08/2025 LQ 202,01 202,01"
"Pago título: 2500003268 898 - SERVICO MUNICIPAL DE 29/08/2025 LQ 190475,9 190475,9"
"Pago título: 2500003275 1078 - DAE SA AGUA E ESGOTO 29/08/2025 LQ 180593,24 180593,24"
"Pago título: 2500003282 826 - DEPARTAMENTO AUTONOMO 29/08/2025 LQ 101727,34 101727,34"
"Pago título: 2500003289 882 - SERVICO AUTONOMO DE A 29/08/2025 LQ 99336,5 99336,5"
"Pago título: 2500003296 828 - SERVICO AUTONOMO DE A 29/08/2025 LQ 90651,95 90651,95"
"Pago título: 2500003317 1052 - DEPARTAMENTO DE AGUA 29/08/2025 LQ 65957,38 65957,38"
"Pago título: 2500003338 919 - COMPANHIA DE DESENVOL 29/08/2025 LQ 46286,03 46286,03"
"Pago título: 2500003345 1132 - CIA SANEAMENTO BASIC 29/08/2025 LQ 41780,48 41780,48"
"Pago título: 2500003352 832 - SANEAMENTO BASICO VIN 29/08/2025 LQ 40824,13 40824,13"
"Pago título: 2500003359 831 - DEPARTAMENTO DE AGUAS 29/08/2025 LQ 37035,25 37035,25"
"Pago título: 2500003366 829 - SERVICO AUTONOMO DE A 29/08/2025 LQ 36133,63 36133,63"
"Pago título: 2500003373 986 - PREFEITURA MUNICIPAL 29/08/2025 LQ 30494,83 30494,83"
"Pago título: 2500003380 1065 - CIA SANEAMENTO BASIC 29/08/2025 LQ 27625,54 27625,54"
"Pago título: 2500003387 966 - SERVICO DE AGUA E ESG 29/08/2025 LQ 26118,21 26118,21"
"Pago título: 2500003401 1057 - CIA SANEAMENTO BASIC 29/08/2025 LQ 24579,2 24579,2"
"Pago título: 2500003415 487 - USINA ACUCAREIRA ESTE 29/08/2025 LQ 23558,49 23558,49"
"Pago título: 2500003422 867 - EUCATEX INDUSTRIA E C 29/08/2025 LQ 22500,18 22500,18"
"Pago título: 2500003429 1000 - CIA SANEAMENTO BASIC 29/08/2025 LQ 21606,84 21606,84"
"Pago título: 2500003436 1084 - SAAE  SANEAMENTO AMB 29/08/2025 LQ 21436,47 21436,47"
"Pago título: 2500003450 944 - PREFEITURA MUNICIPAL 29/08/2025 LQ 18177,93 18177,93"
"Pago título: 2500003457 4519 - IVO ZARZUR ADMINISTR 29/08/2025 LQ 14722,95 14722,95"
"Pago título: 2500003471 5261 - CIA DE SANEAMENTO BA 29/08/2025 LQ 14145,46 14145,46"
"Pago título: 2500003499 920 - ELEKEIROZ SA 29/08/2025 LQ 10194,03 10194,03"
"Pago título: 2500003506 1073 - CIA SANEAMENTO BASIC 29/08/2025 LQ 9948,8 9948,8"
"Pago título: 2500003520 1231 - COVOLAN INDUSTRIA TE 29/08/2025 LQ 9229,69 9229,69"
"Pago título: 2500003527 1112 - CIA SANEAMENTO BASIC 29/08/2025 LQ 9112,74 9112,74"
"Pago título: 2500003541 1058 - CIA SANEAMENTO BASIC 29/08/2025 LQ 8458,68 8458,68"
"Pago título: 2500003548 1123 - CIA SANEAMENTO BASIC 29/08/2025 LQ 8380,58 8380,58"
"Pago título: 2500003562 1066 - CIA SANEAMENTO BASIC 29/08/2025 LQ 7920,26 7920,26"
"Pago título: 2500003569 1484 - DELTA INDUSTRIA CERA 29/08/2025 LQ 7827,1 7827,1"
"Pago título: 2500003576 1110 - SERVICO AUTONOMO DE 29/08/2025 LQ 7567,08 7567,08"
"Pago título: 2500003583 1067 - CIA SANEAMENTO BASIC 29/08/2025 LQ 7360,66 7360,66"
"Pago título: 2500003590 5355 - CIA DE SANEAMENTO BA 29/08/2025 LQ 6692,45 6692,45"
"Pago título: 2500003597 845 - THYSSENKRUPP METALURG 29/08/2025 LQ 6427,51 6427,51"
"Pago título: 2500003604 1064 - CIA SANEAMENTO BASIC 29/08/2025 LQ 6305,27 6305,27"
"Pago título: 2500003625 6490 - USINA IRB SA 29/08/2025 LQ 6188,41 6188,41"
"Pago título: 2500003632 5050 - CIA DE SANEAMENTO BA 29/08/2025 LQ 5875,06 5875,06"
"Pago título: 2500003639 1169 - MINERACAO JUNDU LTDA 29/08/2025 LQ 5817,94 5817,94"
"Pago título: 2500003647 857 - CPIC BRASIL FIBRAS DE 30/09/2025 LQ 5681,47 5681,47"
"Pago título: 2500003660 868 - PREFEITURA MUNICIPAL 29/08/2025 LQ 4821,87 4821,87"
"Pago título: 2500003674 1060 - CIA SANEAMENTO BASIC 29/08/2025 LQ 4609,84 4609,84"
"Pago título: 2500003681 1070 - CIA SANEAMENTO BASIC 29/08/2025 LQ 4442,43 4442,43"
"Pago título: 2500003688 4481 - CLARIPEL INDUSTRIA D 29/08/2025 LQ 4398,06 4398,06"
"Pago título: 2500003695 839 - BUTILAMIL INDUSTRIAS 29/08/2025 LQ 4107,92 4107,92"
"Pago título: 2500003702 1405 - ASSOCIACAO LOTEAMENT 29/08/2025 LQ 4031,76 4031,76"
"Pago título: 2500003716 930 - SERVICO AUTONOMO DE A 29/08/2025 LQ 3882,3 3882,3"
"Pago título: 2500003737 891 - TIMAVO DO BRASIL SA I 29/08/2025 LQ 3680,28 3680,28"
"Pago título: 2500003744 948 - QUINTA DA BARONEZA GO 29/08/2025 LQ 3678,73 3678,73"
"Pago título: 2500003758 500 - BIGNARDI IND E COM DE 29/08/2025 LQ 3228,25 3228,25"
"Pago título: 2500003765 1063 - CIA SANEAMENTO BASIC 29/08/2025 LQ 3143,8 3143,8"
"Pago título: 2500003779 7745 - AGUAS DE TUIUTI SPE 29/08/2025 LQ 2899,85 2899,85"
"Pago título: 2500003786 3683 - NOVAPORCELANATO INDU 29/08/2025 LQ 2893,52 2893,52"
"Pago título: 2500003793 448 - INDUSTRIA DE PAPEL R 29/08/2025 LQ 2873,31 2873,31"
"Pago título: 2500003821 160 - ASSOCIACAO RESIDENCIA 29/08/2025 LQ 2810,56 2810,56"
"Pago título: 2500003828 2497 - CARVALHEIRA INDUSTRI 29/08/2025 LQ 2796,54 2796,54"
"Pago título: 2500003842 7351 - COMPANHIA DE SANEAME 29/08/2025 LQ 2747,82 2747,82"
"Pago título: 2500003870 219 - ASK CRIOS PRODUTOS QU 29/08/2025 LQ 2510,07 2510,07"
"Pago título: 2500003884 98 - SOCIEDADE RESIDENCIAL 29/08/2025 LQ 2507,75 2507,75"
"Pago título: 2500003898 1195 - TEXTIL CANATIBA LTDA 29/08/2025 LQ 2467,22 2467,22"
"Pago título: 2500003912 1128 - CIA SANEAMENTO BASIC 29/08/2025 LQ 2401,47 2401,47"
"Pago título: 2500003919 3384 - FRIGODELISS LTDA 29/08/2025 LQ 2345,09 2345,09"
"Pago título: 2500003947 842 - REGIMAR COMERCIAL SA 29/08/2025 LQ 2236,8 2236,8"
"Pago título: 2500003954 476 - CLUBE DE CAMPO VALINH 29/08/2025 LQ 2234,89 2234,89"
"Pago título: 2500003968 5601 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 2216,66 2216,66"
"Pago título: 2500003982 1075 - TINTEX TINTURARIA TE 29/08/2025 LQ 2183,9 2183,9"
"Pago título: 2500003989 12 - AGUAJATO TRANSPORTES L 29/08/2025 LQ 2181,11 2181,11"
"Pago título: 2500003996 1054 - CIA SANEAMENTO BASIC 29/08/2025 LQ 2140,32 2140,32"
"Pago título: 2500004010 3644 - IBG CRYO INDUSTRIA D 29/08/2025 LQ 2127,16 2127,16"
"Pago título: 2500004024 906 - TINTURARIA E ESTAMPAR 29/08/2025 LQ 2088,27 2088,27"
"Pago título: 2500004031 2861 - KORIN AGROPECUARIA L 29/08/2025 LQ 2063,59 2063,59"
"Pago título: 2500004038 462 - AD ORO SA 29/08/2025 LQ 2012,77 2012,77"
"Pago título: 2500004045 1194 - TEXTIL CANATIBA LTDA 29/08/2025 LQ 1972,73 1972,73"
"Pago título: 2500004052 2361 - TECELAGEM JOLITEX LT 29/08/2025 LQ 1961,25 1961,25"
"Pago título: 2500004059 26 - CERAMICA FORMIGRES LTD 29/08/2025 LQ 1956,83 1956,83"
"Pago título: 2500004066 7913 - QUIMICOS E SOLUCOES 29/08/2025 LQ 1940,45 1940,45"
"Pago título: 2500004073 3673 - PLATLOG IMPORTACAO L 29/08/2025 LQ 1932,64 1932,64"
"Pago título: 2500004080 5076 - CLUBE DE CAMPO FAZEN 29/08/2025 LQ 1848,61 1848,61"
"Pago título: 2500004087 1086 - ENGENHO SAO PEDRO AG 29/08/2025 LQ 1842,28 1842,28"
"Pago título: 2500004094 895 - FRIGORIFICO ANGELELLI 29/08/2025 LQ 1840,99 1840,99"
"Pago título: 2500004101 1002 - CIA SANEAMENTO BASIC 29/08/2025 LQ 1833,5 1833,5"
"Pago título: 2500004108 3851 - USINA GRANELLI LTDA 29/08/2025 LQ 1821,34 1821,34"
"Pago título: 2500004115 1116 - CROWN EMBALAGENS MET 29/08/2025 LQ 1809,83 1809,83"
"Pago título: 2500004150 497 - ALCOOL FERREIRA SA 29/08/2025 LQ 1760,15 1760,15"
"Pago título: 2500004164 257 - PASTIFICIO SELMI SA 29/08/2025 LQ 1717,75 1717,75"
