"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462483009202521607_id.ret"
""
"Cadastrado título novo: 9000008951 555 - UNIMED COOPERATIVA CE 31/10/2025 RG 403,96 0"
"Pago título: 2500002269 5635 - RECAP CONSTRUTORA E 30/09/2025 LQ 216,57 216,57"
"Pago título: 2500002273 3325 - GOODMAN ITUPEVA EMPR 30/09/2025 LQ 215,84 215,84"
"Pago título: 2500002277 3819 - ASSOCIACAO ADMINISTR 30/09/2025 LQ 215,39 215,39"
"Pago título: 2500002281 3459 - JOFEGE CONCRETO LTDA 30/09/2025 LQ 215,36 215,36"
"Pago título: 2500002297 2833 - CONDAT LUBRIFICANTES 30/09/2025 LQ 214,4 214,4"
"Pago título: 2500002301 1967 - PLASTICOS SANTANA LT 30/09/2025 LQ 214,09 214,09"
"Pago título: 2500002325 5468 - LUCIANO TORELLI E CI 30/09/2025 LQ 211,76 211,76"
"Pago título: 2500002341 4509 - EXTRACAO E COMERCIO 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002345 5633 - IBIS AGRARIA LTDA 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002349 4835 - TRANSPORTES GABARDO 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002353 3946 - CAMPEAO 68 POSTO DE 30/09/2025 LQ 210,33 210,33"
"Pago título: 2500002357 1039 - BRAGA COMERCIO E IND 30/09/2025 LQ 210,21 210,21"
"Pago título: 2500002361 1124 - JOYSON SAFETY SYSTEM 30/09/2025 LQ 209,36 209,36"
"Pago título: 2500002365 1445 - SOCIEDADE DOS AMIGOS 30/09/2025 LQ 209,25 209,25"
"Pago título: 2500002369 7914 - TAUSTE SUPERMERCADOS 30/09/2025 LQ 209,16 209,16"
"Pago título: 2500002389 5517 - MUNICIPIO DE HORTOLA 30/09/2025 LQ 204,94 204,94"
"Pago título: 2500002393 1850 - DP  LF TRANSPORTES L 30/09/2025 LQ 204,94 204,94"
"Pago título: 2500002401 4895 - VYLLA EMPREENDIMENTO 30/09/2025 LQ 204,94 204,94"
"Pago título: 2500002413 3415 - CONDOMINIO EDIFICIO 30/09/2025 LQ 202,52 202,52"
"Pago título: 2500002417 7092 - VF 11 PALMAS DO PAIO 30/09/2025 LQ 202,19 202,19"
"Pago título: 2500002429 7710 - WLM PART E COMERCIO 30/09/2025 LQ 201,28 201,28"
"Pago título: 2500002437 3856 - BRASPARK ADMINISTRAD 30/09/2025 LQ 201,02 201,02"
"Pago título: 2500002446 3098 - ASSOC DOS PROPR E MO 30/09/2025 LQ 239,48 239,48"
"Pago título: 2500002456 5654 - FUNDICAO REGALI BRAS 30/09/2025 LQ 238,74 238,74"
"Pago título: 2500002466 1774 - MINERACAO SAARA EXTR 30/09/2025 LQ 237,45 237,45"
"Pago título: 2500002471 4053 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 237,14 237,14"
"Pago título: 2500002476 3803 - ASSOCIACAO ALPHAVILL 30/09/2025 LQ 235,21 235,21"
"Pago título: 2500002481 875 - RICHARD KLINGER INDUS 30/09/2025 LQ 234,73 234,73"
"Pago título: 2500002491 7294 - ASSOCIACAO DE PROPRI 30/09/2025 LQ 234,21 234,21"
"Pago título: 2500002501 3991 - HIGIBRAG TRANSPORTE 30/09/2025 LQ 234,21 234,21"
"Pago título: 2500002511 3615 - IMOBILIARIA HELVETIA 30/09/2025 LQ 234,21 234,21"
"Pago título: 2500002526 894 - DAUNE TRAVESSEIROS DE 30/09/2025 LQ 230,76 230,76"
"Pago título: 2500002551 4016 - ITA  AREIA COMERCIO 30/09/2025 LQ 228,36 228,36"
"Pago título: 2500002561 3774 - ASSOCIACAO DOS PROP 30/09/2025 LQ 226,45 226,45"
"Pago título: 2500002571 890 - LABORATORIO TAYUYNA L 30/09/2025 LQ 224,46 224,46"
"Pago título: 2500002581 1430 - ASSOCIACAO DOS MORAD 30/09/2025 LQ 222,5 222,5"
"Pago título: 2500002591 5773 - OWB INDUSTRIA DE AUT 30/09/2025 LQ 222,31 222,31"
"Pago título: 2500002596 7741 - ASSOCIACAO DOS PROP 30/09/2025 LQ 221,87 221,87"
"Pago título: 2500002601 7011 - JS ESPUMAS FLEXIVEIS 30/09/2025 LQ 221,17 221,17"
"Pago título: 2500002606 3608 - BIONOVIS SA  CIA BRA 30/09/2025 LQ 220,12 220,12"
"Pago título: 2500002611 3484 - CLUBE RECREATIVO SAO 30/09/2025 LQ 219,57 219,57"
"Pago título: 2500002631 969 - PRALANA INDUSTRIA E C 30/09/2025 LQ 217,75 217,75"
"Pago título: 2500002636 4327 - CEETEPSCENTRO ESTADU 30/09/2025 LQ 216,65 216,65"
"Pago título: 2500002646 2389 - JOFEGE CONCRETO LTDA 30/09/2025 LQ 215,7 215,7"
"Pago título: 2500002651 3984 - BELEM TRANSPORTES E 30/09/2025 LQ 215,61 215,61"
"Pago título: 2500002661 4396 - VIVENDA ASSOCIACAO L 30/09/2025 LQ 213,72 213,72"
"Pago título: 2500002671 4910 - CARMEL PART E COMERC 30/09/2025 LQ 212,21 212,21"
"Pago título: 2500002681 769 - LUIZ CARLOS SCARPONI 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002691 7330 - LA VITA ALIMENTOS AG 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002696 4136 - STORAGE ADMINISTRACA 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002701 3729 - NP EMPREENDIMENTOS L 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002716 953 - MAHLE COMPRESSORES DO 30/09/2025 LQ 206,82 206,82"
"Pago título: 2500002721 3945 - BRASA BURGER IND E C 30/09/2025 LQ 206,27 206,27"
"Pago título: 2500002726 617 - JOAO BOZZA JUNIOR 30/09/2025 LQ 204,94 204,94"
"Pago título: 2500002746 155 - AUTO POSTO AMIGAO DA 30/09/2025 LQ 204,94 204,94"
"Pago título: 2500002751 3656 - FAZENDA TOZAN DO BRA 30/09/2025 LQ 204,93 204,93"
"Pago título: 2500002781 2367 - INDUSTRIA DE FRIOS X 30/09/2025 LQ 202,64 202,64"
"Pago título: 2500002786 3259 - BAG CLEANER COMERCIO 30/09/2025 LQ 202,32 202,32"
"Pago título: 2500002791 153 - CONDOMINIO BOSQUE DOS 30/09/2025 LQ 201,07 201,07"
"Pago título: 2500002796 2280 - TINTURARIA SANTA ADE 30/09/2025 LQ 200,37 200,37"
"Pago título: 2500002801 7749 - CONCREPAV PARTICIPAC 30/09/2025 LQ 200,2 200,2"
"Pago título: 2500002812 391 - CONDOMINIO EDIFICIO E 30/09/2025 LQ 232,33 232,33"
"Pago título: 2500002824 997 - CEDASA INDUSTRIA E CO 30/09/2025 LQ 230,55 230,55"
"Pago título: 2500002836 1097 - TERRAR INDUSTRIA E C 30/09/2025 LQ 229,5 229,5"
"Pago título: 2500002848 5870 - VILA HIPICA EMPREEND 30/09/2025 LQ 228,36 228,36"
"Pago título: 2500002854 521 - SPG PRINTS BRASIL LTD 30/09/2025 LQ 228,11 228,11"
"Pago título: 2500002866 2686 - BOM PEIXE INDUSTRIA 30/09/2025 LQ 226,77 226,77"
"Pago título: 2500002878 495 - NEUMAYER TEKFOR AUTOM 30/09/2025 LQ 226,22 226,22"
"Pago título: 2500002884 959 - ASK PRODUTOS QUIMICOS 30/09/2025 LQ 226,08 226,08"
"Pago título: 2500002896 7881 - MAG SAC EMBALAGENS L 30/09/2025 LQ 225,89 225,89"
"Pago título: 2500002932 3853 - MONTE COR PROTECAO D 30/09/2025 LQ 221,25 221,25"
"Pago título: 2500002938 4584 - CONJUNTO RESIDENCIAL 30/09/2025 LQ 220,55 220,55"
"Pago título: 2500002944 2304 - LAZARO MELLO BRANDAO 30/09/2025 LQ 219,82 219,82"
"Pago título: 2500002950 2935 - CERAMICA ALMEIDA LTD 30/09/2025 LQ 219,75 219,75"
"Pago título: 2500002962 2528 - MULTILOG BRASIL SA 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002974 4840 - CIALENE INDUSTRIA E 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002980 3124 - BARREIRENSE PRODUTOS 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500003004 2653 - TANQUE MATERIAS PARA 30/09/2025 LQ 219,24 219,24"
"Pago título: 2500003010 3529 - TECELAGEM JOLITEX LT 30/09/2025 LQ 218,92 218,92"
"Pago título: 2500003016 1415 - DPV PRODUTOS QUIMICO 30/09/2025 LQ 218,63 218,63"
"Pago título: 2500003028 760 - LETICIA APARECIDA MAR 30/09/2025 LQ 217,47 217,47"
"Pago título: 2500003034 7873 - SAINTGOBAIN DO BRASI 30/09/2025 LQ 217,29 217,29"
"Pago título: 2500003035 7873 - SAINTGOBAIN DO BRASI 31/10/2025 LQ 217,29 217,29"
"Pago título: 2500003046 3516 - JOSE JORGE BERARDINE 30/09/2025 LQ 214,7 214,7"
"Pago título: 2500003058 1323 - TEXTIL SUCCI LTDAME 30/09/2025 LQ 214,33 214,33"
"Pago título: 2500003070 2227 - COMSAPE EXTRACAO E C 30/09/2025 LQ 214,03 214,03"
"Pago título: 2500003076 1276 - INDUSTRIA E COMERCIO 30/09/2025 LQ 213,45 213,45"
"Pago título: 2500003088 473 - TECELAGEM CHUAHY LTDA 30/09/2025 LQ 213,04 213,04"
"Pago título: 2500003094 2301 - DRYLLER INDUSTRIA E 30/09/2025 LQ 211,76 211,76"
"Pago título: 2500003100 2469 - RICLAN SA 30/09/2025 LQ 211,5 211,5"
"Pago título: 2500003112 377 - ANDRITZ FABRICS AND R 30/09/2025 LQ 210,35 210,35"
"Pago título: 2500003118 1414 - CERVEJARIA ASHBY LTD 30/09/2025 LQ 210,03 210,03"
"Pago título: 2500003130 1558 - CONDOMINIO CHACARAS 30/09/2025 LQ 209,82 209,82"
"Pago título: 2500003136 135 - CONDOMINIO RESIDENCIA 30/09/2025 LQ 209,32 209,32"
"Pago título: 2500003178 1129 - CIA SANEAMENTO BASIC 30/09/2025 LQ 204,04 204,04"
"Pago título: 2500003184 1437 - CONDOMINIO EDIFICIO 30/09/2025 LQ 203,86 203,86"
"Pago título: 2500003190 2687 - ROTOCROM INDUSTRIA E 30/09/2025 LQ 203,76 203,76"
"Pago título: 2500003196 975 - BANN QUIMICA LTDA 30/09/2025 LQ 203,11 203,11"
"Pago título: 2500003202 2943 - VTR VETOR EQUIPAMENT 30/09/2025 LQ 202,93 202,93"
"Pago título: 2500003214 3929 - MINERACAO SAMAMBAIA 30/09/2025 LQ 202,19 202,19"
"Pago título: 2500003269 898 - SERVICO MUNICIPAL DE 30/09/2025 LQ 190475,9 190475,9"
"Pago título: 2500003276 1078 - DAE SA AGUA E ESGOTO 30/09/2025 LQ 180593,24 180593,24"
"Pago título: 2500003290 882 - SERVICO AUTONOMO DE A 30/09/2025 LQ 99336,5 99336,5"
"Pago título: 2500003297 828 - SERVICO AUTONOMO DE A 30/09/2025 LQ 90651,95 90651,95"
"Pago título: 2500003318 1052 - DEPARTAMENTO DE AGUA 30/09/2025 LQ 65957,38 65957,38"
"Pago título: 2500003339 919 - COMPANHIA DE DESENVOL 30/09/2025 LQ 46286,03 46286,03"
"Pago título: 2500003346 1132 - CIA SANEAMENTO BASIC 30/09/2025 LQ 41780,48 41780,48"
"Pago título: 2500003353 832 - SANEAMENTO BASICO VIN 30/09/2025 LQ 40824,13 40824,13"
"Pago título: 2500003360 831 - DEPARTAMENTO DE AGUAS 30/09/2025 LQ 37035,25 37035,25"
"Pago título: 2500003367 829 - SERVICO AUTONOMO DE A 30/09/2025 LQ 36133,63 36133,63"
"Pago título: 2500003374 986 - PREFEITURA MUNICIPAL 30/09/2025 LQ 30494,83 30494,83"
"Pago título: 2500003381 1065 - CIA SANEAMENTO BASIC 30/09/2025 LQ 27625,54 27625,54"
"Pago título: 2500003388 966 - SERVICO DE AGUA E ESG 30/09/2025 LQ 26118,21 26118,21"
"Pago título: 2500003402 1057 - CIA SANEAMENTO BASIC 30/09/2025 LQ 24579,2 24579,2"
"Pago título: 2500003416 487 - USINA ACUCAREIRA ESTE 30/09/2025 LQ 23558,49 23558,49"
"Pago título: 2500003423 867 - EUCATEX INDUSTRIA E C 30/09/2025 LQ 22500,18 22500,18"
"Pago título: 2500003430 1000 - CIA SANEAMENTO BASIC 30/09/2025 LQ 21606,84 21606,84"
"Pago título: 2500003437 1084 - SAAE  SANEAMENTO AMB 30/09/2025 LQ 21436,47 21436,47"
"Pago título: 2500003444 3411 - PREFEITURA MUNICIPAL 30/09/2025 LQ 19711,2 19711,2"
"Pago título: 2500003451 944 - PREFEITURA MUNICIPAL 30/09/2025 LQ 18177,93 18177,93"
"Pago título: 2500003458 4519 - IVO ZARZUR ADMINISTR 30/09/2025 LQ 14722,95 14722,95"
"Pago título: 2500003472 5261 - CIA DE SANEAMENTO BA 30/09/2025 LQ 14145,46 14145,46"
"Pago título: 2500003507 1073 - CIA SANEAMENTO BASIC 30/09/2025 LQ 9948,8 9948,8"
"Pago título: 2500003521 1231 - COVOLAN INDUSTRIA TE 30/09/2025 LQ 9229,69 9229,69"
"Pago título: 2500003528 1112 - CIA SANEAMENTO BASIC 30/09/2025 LQ 9112,74 9112,74"
"Pago título: 2500003542 1058 - CIA SANEAMENTO BASIC 30/09/2025 LQ 8458,68 8458,68"
"Pago título: 2500003549 1123 - CIA SANEAMENTO BASIC 30/09/2025 LQ 8380,58 8380,58"
"Pago título: 2500003563 1066 - CIA SANEAMENTO BASIC 30/09/2025 LQ 7920,26 7920,26"
"Pago título: 2500003570 1484 - DELTA INDUSTRIA CERA 30/09/2025 LQ 7827,1 7827,1"
"Pago título: 2500003584 1067 - CIA SANEAMENTO BASIC 30/09/2025 LQ 7360,66 7360,66"
"Pago título: 2500003591 5355 - CIA DE SANEAMENTO BA 30/09/2025 LQ 6692,45 6692,45"
"Pago título: 2500003598 845 - THYSSENKRUPP METALURG 30/09/2025 LQ 6427,51 6427,51"
"Pago título: 2500003605 1064 - CIA SANEAMENTO BASIC 30/09/2025 LQ 6305,27 6305,27"
"Pago título: 2500003619 856 - PREFEITURA MUNICIPAL 30/09/2025 LQ 6243,9 6243,9"
"Pago título: 2500003626 6490 - USINA IRB SA 30/09/2025 LQ 6188,41 6188,41"
"Pago título: 2500003633 5050 - CIA DE SANEAMENTO BA 30/09/2025 LQ 5875,06 5875,06"
"Pago título: 2500003640 1169 - MINERACAO JUNDU LTDA 30/09/2025 LQ 5817,94 5817,94"
"Pago título: 2500003661 868 - PREFEITURA MUNICIPAL 30/09/2025 LQ 4821,87 4821,87"
"Pago título: 2500003675 1060 - CIA SANEAMENTO BASIC 30/09/2025 LQ 4609,84 4609,84"
"Pago título: 2500003682 1070 - CIA SANEAMENTO BASIC 30/09/2025 LQ 4442,43 4442,43"
"Pago título: 2500003696 839 - BUTILAMIL INDUSTRIAS 30/09/2025 LQ 4107,92 4107,92"
"Pago título: 2500003724 878 - PREFEITURA MUNICIPAL 30/09/2025 LQ 3757,74 3757,74"
"Pago título: 2500003738 891 - TIMAVO DO BRASIL SA I 30/09/2025 LQ 3680,28 3680,28"
"Pago título: 2500003745 948 - QUINTA DA BARONEZA GO 30/09/2025 LQ 3678,73 3678,73"
"Pago título: 2500003759 500 - BIGNARDI IND E COM DE 30/09/2025 LQ 3228,25 3228,25"
"Pago título: 2500003766 1063 - CIA SANEAMENTO BASIC 30/09/2025 LQ 3143,8 3143,8"
"Pago título: 2500003773 2289 - ADVANCE INDUSTRIA TE 30/09/2025 LQ 2952,21 2952,21"
"Pago título: 2500003780 7745 - AGUAS DE TUIUTI SPE 30/09/2025 LQ 2899,85 2899,85"
"Pago título: 2500003787 3683 - NOVAPORCELANATO INDU 30/09/2025 LQ 2893,52 2893,52"
"Pago título: 2500003794 448 - INDUSTRIA DE PAPEL R 30/09/2025 LQ 2873,31 2873,31"
"Pago título: 2500003822 160 - ASSOCIACAO RESIDENCIA 30/09/2025 LQ 2810,56 2810,56"
"Pago título: 2500003829 2497 - CARVALHEIRA INDUSTRI 30/09/2025 LQ 2796,54 2796,54"
"Pago título: 2500003843 7351 - COMPANHIA DE SANEAME 30/09/2025 LQ 2747,82 2747,82"
"Pago título: 2500003857 452 - WHIRLPOOL SA 30/09/2025 LQ 2700,51 2700,51"
"Pago título: 2500003871 219 - ASK CRIOS PRODUTOS QU 30/09/2025 LQ 2510,07 2510,07"
"Pago título: 2500003885 98 - SOCIEDADE RESIDENCIAL 30/09/2025 LQ 2507,75 2507,75"
"Pago título: 2500003899 1195 - TEXTIL CANATIBA LTDA 30/09/2025 LQ 2467,22 2467,22"
"Pago título: 2500003913 1128 - CIA SANEAMENTO BASIC 30/09/2025 LQ 2401,47 2401,47"
"Pago título: 2500003948 842 - REGIMAR COMERCIAL SA 30/09/2025 LQ 2236,8 2236,8"
"Pago título: 2500003955 476 - CLUBE DE CAMPO VALINH 30/09/2025 LQ 2234,89 2234,89"
"Pago título: 2500003969 5601 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 2216,66 2216,66"
"Pago título: 2500003983 1075 - TINTEX TINTURARIA TE 30/09/2025 LQ 2183,9 2183,9"
"Pago título: 2500003990 12 - AGUAJATO TRANSPORTES L 30/09/2025 LQ 2181,11 2181,11"
"Pago título: 2500003997 1054 - CIA SANEAMENTO BASIC 30/09/2025 LQ 2140,32 2140,32"
"Pago título: 2500004011 3644 - IBG CRYO INDUSTRIA D 30/09/2025 LQ 2127,16 2127,16"
"Pago título: 2500004025 906 - TINTURARIA E ESTAMPAR 30/09/2025 LQ 2088,27 2088,27"
"Pago título: 2500004032 2861 - KORIN AGROPECUARIA L 30/09/2025 LQ 2063,59 2063,59"
"Pago título: 2500004039 462 - AD ORO SA 30/09/2025 LQ 2012,77 2012,77"
"Pago título: 2500004046 1194 - TEXTIL CANATIBA LTDA 30/09/2025 LQ 1972,73 1972,73"
"Pago título: 2500004053 2361 - TECELAGEM JOLITEX LT 30/09/2025 LQ 1961,25 1961,25"
"Pago título: 2500004067 7913 - QUIMICOS E SOLUCOES 30/09/2025 LQ 1940,45 1940,45"
"Pago título: 2500004074 3673 - PLATLOG IMPORTACAO L 30/09/2025 LQ 1932,64 1932,64"
"Pago título: 2500004081 5076 - CLUBE DE CAMPO FAZEN 30/09/2025 LQ 1848,61 1848,61"
"Pago título: 2500004088 1086 - ENGENHO SAO PEDRO AG 30/09/2025 LQ 1842,28 1842,28"
"Pago título: 2500004095 895 - FRIGORIFICO ANGELELLI 30/09/2025 LQ 1840,99 1840,99"
"Pago título: 2500004102 1002 - CIA SANEAMENTO BASIC 30/09/2025 LQ 1833,5 1833,5"
"Pago título: 2500004109 3851 - USINA GRANELLI LTDA 30/09/2025 LQ 1821,34 1821,34"
"Pago título: 2500004116 1116 - CROWN EMBALAGENS MET 30/09/2025 LQ 1809,83 1809,83"
"Pago título: 2500004151 497 - ALCOOL FERREIRA SA 30/09/2025 LQ 1760,15 1760,15"
"Pago título: 2500004165 257 - PASTIFICIO SELMI SA 30/09/2025 LQ 1717,75 1717,75"
"Pago título: 2500004172 43 - CONDOMINIO RESIDENCIAL 30/09/2025 LQ 1693,86 1693,86"
"Pago título: 2500004179 246 - 3M DO BRASIL LTDA 30/09/2025 LQ 1678,78 1678,78"
"Pago título: 2500004186 7817 - DELTA INDUSTRIA CERA 30/09/2025 LQ 1673,48 1673,48"
"Pago título: 2500004193 6923 - PAULO CASTEJON GUERR 30/09/2025 LQ 1672,95 1672,95"
"Pago título: 2500004200 357 - CONDOMINIO VILLE DE C 30/09/2025 LQ 1649,35 1649,35"
"Pago título: 2500004207 184 - TECELAGEM JOLITEX LTD 30/09/2025 LQ 1632,83 1632,83"
"Pago título: 2500004214 1055 - CARTONIFICIO VALINHO 30/09/2025 LQ 1582,47 1582,47"
"Pago título: 2500004235 1074 - CIA SANEAMENTO BASIC 30/09/2025 LQ 1529,64 1529,64"
"Pago título: 2500004249 3535 - JOFEGE FIACAO E TECE 30/09/2025 LQ 1524,61 1524,61"
"Pago título: 2500004263 1136 - VILLARES METALS SA 30/09/2025 LQ 1472,22 1472,22"
"Pago título: 2500004270 2750 - SERVICO AUTONOMO DE 30/09/2025 LQ 1426,3 1426,3"
"Pago título: 2500004284 3196 - CEDASA INDUSTRIA E C 30/09/2025 LQ 1406,28 1406,28"
"Pago título: 2500004298 5553 - ASSOCIACAO MASTER DA 30/09/2025 LQ 1385,46 1385,46"
"Pago título: 2500004305 1809 - ASSOCIACAO RESIDENCI 30/09/2025 LQ 1384,04 1384,04"
"Pago título: 2500004319 3701 - ASSOCIACAO DE SOCIOS 30/09/2025 LQ 1380,19 1380,19"
"Pago título: 2500004326 371 - CONDOMINIO ITAEMBU 30/09/2025 LQ 1340,24 1340,24"
"Pago título: 2500004333 903 - MINASA TRADING INTERN 30/09/2025 LQ 1334,7 1334,7"
"Pago título: 2500004340 505 - ASSOCIACAO AMIGOS DO 30/09/2025 LQ 1280,55 1280,55"
"Pago título: 2500004368 886 - PROVIDER INDUSTRIA E 30/09/2025 LQ 1252,9 1252,9"
"Pago título: 2500004382 923 - EMS SA 30/09/2025 LQ 1248,57 1248,57"
"Pago título: 2500004389 211 - FERNANDEZ SA INDUSTRI 30/09/2025 LQ 1247,74 1247,74"
"Pago título: 2500004403 507 - TINTURARIA UNIVERSO L 30/09/2025 LQ 1226,31 1226,31"
"Pago título: 2500004417 490 - SAINTGOBAIN DO BRASIL 30/09/2025 LQ 1189,85 1189,85"
"Pago título: 2500004424 1001 - CIA SANEAMENTO BASIC 30/09/2025 LQ 1179,35 1179,35"
"Pago título: 2500004431 2019 - BAERLOCHER DO BRASIL 30/09/2025 LQ 1176,28 1176,28"
"Pago título: 2500004438 7790 - BRAINFARMA INDUSTRIA 30/09/2025 LQ 1171,94 1171,94"
"Pago título: 2500004452 203 - TINTURARIA E ESTAMPAR 30/09/2025 LQ 1151,18 1151,18"
"Pago título: 2500004459 1143 - CASTELO ALIMENTOS SA 30/09/2025 LQ 1145,47 1145,47"
"Pago título: 2500004466 3857 - CRS MINERACAO INDUST 30/09/2025 LQ 1139,56 1139,56"
"Pago título: 2500004480 3111 - BRASWELL PAPEL E CEL 30/09/2025 LQ 1131,25 1131,25"
"Pago título: 2500004487 888 - INCOPISOS INDUSTRIA E 30/09/2025 LQ 1129,24 1129,24"
"Pago título: 2500004515 5628 - SAFRA INDUSTRIA E CO 30/09/2025 LQ 1087,42 1087,42"
"Pago título: 2500004536 7226 - ASSOCIACAO DE MORADO 30/09/2025 LQ 1052,91 1052,91"
"Pago título: 2500004564 7813 - EMPREEND IMOB JARDIM 30/09/2025 LQ 1045,59 1045,59"
"Pago título: 2500004578 1567 - RPR CAPTACAO E TRANS 30/09/2025 LQ 1043,04 1043,04"
"Pago título: 2500004585 1004 - BRANYL COMERCIO E IN 30/09/2025 LQ 1028,19 1028,19"
"Pago título: 2500004627 281 - BIO SPRINGER DO BRASI 30/09/2025 LQ 974,06 974,06"
"Pago título: 2500004634 1120 - MOTOROLA MOBILITY CO 30/09/2025 LQ 966,13 966,13"
"Pago título: 2500004648 480 - PAPIRUS INDUSTRIA DE 30/09/2025 LQ 964,76 964,76"
"Pago título: 2500004655 3011 - VIRONDA CONFECCOES L 30/09/2025 LQ 956,71 956,71"
"Pago título: 2500004662 2965 - JAGUARI COMERCIAL E 30/09/2025 LQ 953,99 953,99"
"Pago título: 2500004669 375 - CAPUAVA SA INDUSTRIA 30/09/2025 LQ 932,98 932,98"
"Pago título: 2500004683 3310 - ELDER COSTA RODRIGUE 30/09/2025 LQ 928,89 928,89"
"Pago título: 2500004690 2170 - ISOTERM INDUSTRIA E 30/09/2025 LQ 927,5 927,5"
"Pago título: 2500004697 191 - COOPERATIVA NOVA ESPE 30/09/2025 LQ 926,73 926,73"
"Pago título: 2500004704 917 - BMB BELGO MINEIRA BEK 30/09/2025 LQ 920,76 920,76"
"Pago título: 2500004711 312 - FIACAO ALPINA LTDA 30/09/2025 LQ 910,16 910,16"
"Pago título: 2500004718 7890 - ASSOC PROPRIET LOT V 30/09/2025 LQ 907,62 907,62"
"Pago título: 2500004732 2747 - SINTO BRASIL PRODUTO 30/09/2025 LQ 892,94 892,94"
"Pago título: 2500004746 939 - LEF PISOS E REVESTIME 30/09/2025 LQ 879,95 879,95"
"Pago título: 2500004753 1818 - MARLES INDUSTRIA TEX 30/09/2025 LQ 874,87 874,87"
"Pago título: 2500004760 861 - HUDTELFA TEXTILE TECH 30/09/2025 LQ 867,19 867,19"
"Pago título: 2500004774 7321 - COMPANHIA DE SANEAME 30/09/2025 LQ 853,21 853,21"
